top - 17:15:08 up 20:01,  0 users,  load average: 0.40, 0.40, 0.66
     97 root       0 -20       0      0      0 I   0.0   0.0   0:00.14 kworker+
     98 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ext4-rs+
    159 root      20   0  178868 115564 114232 S   0.0   0.7   0:12.56 systemd+
    180 root      20   0   13440   6508   5112 S   0.0   0.0   0:00.35 systemd+
    192 systemd+  20   0   15980   6776   5840 S   0.0   0.0   0:00.98 systemd+
    213 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 cryptd
    242 root      20   0       0      0      0 S   0.0   0.0   0:00.00 jbd2/sd+
    243 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ext4-rs+
    254 root      20   0       0      0      0 S   0.0   0.0   0:00.84 jbd2/sd+
    255 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ext4-rs+
    277 systemd+  20   0   12512   6604   5760 S   0.0   0.0   0:01.15 systemd+
    337 message+  20   0    5520   3456   2968 S   0.0   0.0   0:01.00 dbus-da+
    369 ntp       20   0   82024   3100   2536 S   0.0   0.0   0:00.01 chronyd
    372 root      20   0  715688  18344   9436 S   0.0   0.1   0:10.91 google_+
    373 root      20   0  721968  23468  14172 S   0.0   0.1   0:10.92 google_+
    378 root      20   0    4260   2172   2056 S   0.0   0.0   0:00.00 agetty
    427 root      20   0   10824   5924   5060 S   0.0   0.0   0:00.50 systemd+
    429 root      20   0 1083692  13732   7608 S   0.0   0.1   0:00.42 device_+
    443 root      20   0    6248   5008   4408 S   0.0   0.0   0:00.14 sshd
   1670 root      20   0 1231980  49728  29884 S   0.0   0.3   0:59.19 node-pr+
   1722 root      20   0    5360   3092   2696 S   0.0   0.0   0:04.01 bash
   1723 root      20   0    5360   3112   2644 S   0.0   0.0   0:04.18 bash
   1985 root      20   0  713944  12988   7172 S   0.0   0.1   0:38.05 contain+
   2006 65535     20   0     972      4      0 S   0.0   0.0   0:00.00 pause
   2038 root      20   0 1268656  46352  34252 S   0.0   0.3   0:24.69 kube-pr+
   2158 root      20   0  713944  13568   7888 S   0.0   0.1   0:37.46 contain+
   2180 65535     20   0     972      4      0 S   0.0   0.0   0:00.30 pause
   2266 root      20   0  713944  12940   6820 S   0.0   0.1   1:14.70 contain+
   2295 65535     20   0     972      4      0 S   0.0   0.0   0:00.32 pause
   2390 root      20   0  713944  13924   7396 S   0.0   0.1   2:15.72 contain+
   2411 65535     20   0     972      4      0 S   0.0   0.0   0:00.00 pause
   2470 chronos   20   0  751340  67932  35516 S   0.0   0.4   2:01.14 otelsvc
   2526 root      20   0  716552  13904   9328 S   0.0   0.1   0:03.70 csi-nod+
   2735 root      20   0  631720 105124  96528 S   0.0   0.6   1:47.63 fluent-+
   3102 root      20   0 1178060  19428  15240 S   0.0   0.1   0:01.39 gce-pd-+
   3175 chronos   20   0  728864  41736  17788 S   0.0   0.3   0:57.07 fluent-+
 204799 root      20   0 2275424  93228  23652 S   0.0   0.6   4:41.49 contain+
 204839 root      20   0 1516408  67544  28912 S   0.0   0.4   0:16.20 dockerd
 330457 root      20   0  713944  13248   7640 S   0.0   0.1   0:03.85 contain+
 330518 chronos   20   0     972      4      0 S   0.0   0.0   0:00.38 pause
 330558 root      20   0  713944  13084   7744 S   0.0   0.1   0:07.88 contain+
 330594 chronos   20   0     972      4      0 S   0.0   0.0   0:00.41 pause
 330623 root      20   0  713688  12484   7368 S   0.0   0.1   0:03.91 contain+
 330657 chronos   20   0     972      4      0 S   0.0   0.0   0:00.36 pause
 330706 root      20   0  713688  12084   6740 S   0.0   0.1   0:07.26 contain+
 330738 65535     20   0     972      4      0 S   0.0   0.0   0:00.40 pause
 330785 chronos   20   0  130760  20812  16380 S   0.0   0.1   0:01.52 cluster+
 330797 root      20   0  713688  11740   6744 S   0.0   0.1   0:03.85 contain+
 330836 65535     20   0     972      4      0 S   0.0   0.0   0:00.39 pause
 330853 root      20   0  713688  11788   6744 S   0.0   0.1   0:14.78 contain+
 330906 65535     20   0     972      4      0 S   0.0   0.0   0:00.38 pause
 330965 root      20   0  713944  13208   7756 S   0.0   0.1   0:14.81 contain+
 330971 chronos   20   0  135248  37476  22348 S   0.0   0.2   0:03.19 event-e+
 330979 chronos   20   0  715856  17204  10124 S   0.0   0.1   0:03.95 proxy-a+
 330998 65535     20   0     972      4      0 S   0.0   0.0   0:00.37 pause
 331054 chronos+  20   0  734396  31688  21292 S   0.0   0.2   0:05.10 kube-dns
 331077 root      20   0  713944  12672   6992 S   0.0   0.1   0:03.91 contain+
 331096 65532     20   0  130760  21172  16752 S   0.0   0.1   0:01.90 cluster+
 331136 65535     20   0     972      4      0 S   0.0   0.0   0:00.40 pause
 331148 chronos+  20   0  734716  30000  21484 S   0.0   0.2   0:05.20 kube-dns
 331216 chronos   20   0  134856  25604  19988 S   0.0   0.2   0:01.01 monitor
 331219 root      20   0  713944  13176   7884 S   0.0   0.1   0:03.87 contain+
 331238 chronos   20   0     972      4      0 S   0.0   0.0   0:00.39 pause
 331307 root      20   0  727464  17988  13672 S   0.0   0.1   0:00.84 dnsmasq+
 331309 root      20   0  727464  17844  13672 S   0.0   0.1   0:00.85 dnsmasq+
 331374 chronos   20   0  113516   8696   6428 S   0.0   0.1   0:01.06 404-ser+
 331406 chronos   20   0  715856  17420  10124 S   0.0   0.1   0:04.25 proxy-a+
 331420 root      20   0    2840   2112   1864 S   0.0   0.0   0:00.55 dnsmasq
 331464 root      20   0    2840   2088   1840 S   0.0   0.0   0:00.54 dnsmasq
 331499 chronos+  20   0  729652  27104  16620 S   0.0   0.2   0:06.57 sidecar
 331515 chronos+  20   0  729396  28712  16428 S   0.0   0.2   0:06.53 sidecar
 331588 nobody    20   0  745656  49268  32700 S   0.0   0.3   0:16.75 metrics+
 331601 chronos+  20   0  733976  27136  20028 S   0.0   0.2   0:01.35 monitor
 331628 chronos+  20   0  734232  27172  19836 S   0.0   0.2   0:01.31 monitor
 331765 root      20   0  129756  33564  16468 S   0.0   0.2   3:26.73 pod_nan+
 364250 root      20   0       0      0      0 I   0.0   0.0   0:00.08 kworker+
 368717 root      20   0       0      0      0 I   0.0   0.0   0:00.04 kworker+
 368843 root      20   0       0      0      0 I   0.0   0.0   0:00.05 kworker+
 369139 root      20   0       0      0      0 I   0.0   0.0   0:00.01 kworker+
 370420 root      20   0       0      0      0 I   0.0   0.0   0:00.26 kworker+
 376864 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
 377562 root      20   0  713944  12140   7184 S   0.0   0.1   0:00.97 contain+
 377582 65535     20   0     972      4      0 S   0.0   0.0   0:00.00 pause
 377670 root      20   0  713688  13616   7692 S   0.0   0.1   0:00.72 contain+
 377706 65535     20   0     972      4      0 S   0.0   0.0   0:00.00 pause
 377767 root      20   0    2272   1704   1440 S   0.0   0.0   0:00.04 manage-+
 377808 root      20   0  714008  12376   7692 S   0.0   0.1   0:00.69 contain+
 377829 65535     20   0     972      4      0 S   0.0   0.0   0:00.26 pause
 377862 root      20   0  759332  51536  38704 S   0.0   0.3   0:00.98 cilium-+
 378021 root      20   0       0      0      0 I   0.0   0.0   0:00.13 kworker+
 378436 root      20   0  706444   4000   3140 S   0.0   0.0   0:00.02 cilium-+
 379771 root      20   0  713688  12312   7060 S   0.0   0.1   0:00.69 contain+
 379793 65535     20   0     972      4      0 S   0.0   0.0   0:00.26 pause
 381292 root      20   0       0      0      0 I   0.0   0.0   0:00.13 kworker+
 381407 root      20   0       0      0      0 I   0.0   0.0   0:00.10 kworker+
 382917 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
 385929 root      20   0    1580      8      0 S   0.0   0.0   0:00.00 sleep
 385932 root      20   0    5384   1076    920 S   0.0   0.0   0:00.00 sleep
 385933 root      20   0    6772   5508   4696 S   0.0   0.0   0:00.00 sshd
 385943 root      20   0    5384   1072    920 S   0.0   0.0   0:00.00 sleep
 385945 afarwick  20   0    6772   4076   3204 S   0.0   0.0   0:00.00 sshd
 385946 afarwick  20   0    5184   1196   1044 S   0.0   0.0   0:00.00 bash

top - 17:15:09 up 20:01,  0 users,  load average: 0.40, 0.40, 0.66
Tasks: 164 total,   2 running, 162 sleeping,   0 stopped,   0 zombie
%Cpu(s): 50.5 us, 15.3 sy,  0.0 ni,  2.5 id,  0.0 wa,  0.0 hi, 31.7 si,  0.0 st
MiB Mem :  16009.2 total,  11968.1 free,    871.3 used,   3169.7 buff/cache
MiB Swap:      0.0 total,      0.0 free,      0.0 used.  14911.6 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 379831 root      20   0  716432  17232  10116 S 382.4   0.1  15:07.92 fortio
   2735 root      20   0  631720 105124  96528 S   3.9   0.6   1:47.65 fluent-+
 204702 root      20   0 2307020 126556  71956 S   2.0   0.8  14:34.63 the-kub+
 331588 nobody    20   0  745656  49268  32700 S   2.0   0.3   0:16.76 metrics+
 377961 root      20   0  784824 116792  54652 S   2.0   0.7   0:12.27 cilium-+
      1 root      20   0  162968  10136   6476 S   0.0   0.1   0:10.28 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.03 kthreadd
      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par+
